"k","n","Variance","Test","Power","TypeI_Error"
4,8,"Moderate","GamesHowell",0.973205358928214,0.0518896220755849
4,8,"Moderate","DunnettT3",0.964007198560288,0.0397920415916817
4,8,"Moderate","TamhaneT2",0.956608678264347,0.0368926214757049
4,8,"Moderate","Sidak",0.981403719256149,0.0474905018996201
4,8,"High","TukeyHSD",0.985102979404119,0.0673865226954609
4,8,"High","Scheffe",0.969706058788242,0.0466906618676265
4,8,"High","FisherLSD",0.985302939412118,0.0652869426114777
4,8,"High","GamesHowell",0.97880423915217,0.0547890421915617
4,8,"High","DunnettT3",0.967606478704259,0.0442911417716457
4,8,"High","TamhaneT2",0.959708058388322,0.0414917016596681
4,8,"High","Sidak",0.979704059188162,0.0577884423115377
4,10,"Homogeneous","TukeyHSD",0.997100579884023,0.0492901419716057
4,10,"Homogeneous","Scheffe",0.993401319736053,0.0273945210957808
4,10,"Homogeneous","FisherLSD",0.997400519896021,0.0493901219756049
4,10,"Homogeneous","GamesHowell",0.994301139772046,0.0518896220755849
4,10,"Homogeneous","DunnettT3",0.992001599680064,0.0413917216556689
4,10,"Homogeneous","TamhaneT2",0.991001799640072,0.0397920415916817
4,10,"Homogeneous","Sidak",0.995500899820036,0.0393921215756849
4,10,"Moderate","TukeyHSD",0.998000399920016,0.0586882623475305
4,10,"Moderate","Scheffe",0.994101179764047,0.0364927014597081
4,10,"Moderate","FisherLSD",0.998000399920016,0.0587882423515297
4,10,"Moderate","GamesHowell",0.995800839832034,0.0509898020395921
4,10,"Moderate","DunnettT3",0.993501299740052,0.0402919416116777
4,10,"Moderate","TamhaneT2",0.992601479704059,0.0374925014997001
4,10,"Moderate","Sidak",0.997000599880024,0.0503899220155969
4,10,"High","TukeyHSD",0.99750049990002,0.0671865626874625
4,10,"High","Scheffe",0.994401119776045,0.0432913417316537
4,10,"High","FisherLSD",0.998100379924015,0.0642871425714857
4,10,"High","GamesHowell",0.997300539892022,0.0559888022395521
4,10,"High","DunnettT3",0.994401119776045,0.0440911817636473
4,10,"High","TamhaneT2",0.993201359728054,0.0418916216756649
4,10,"High","Sidak",0.996700659868026,0.0571885622875425
5,6,"Homogeneous","TukeyHSD",0.999400119976005,0.0475904819036193
5,6,"Homogeneous","Scheffe",0.998300339932014,0.0195960807838432
5,6,"Homogeneous","FisherLSD",0.999900019996001,0.0478904219156169
5,6,"Homogeneous","GamesHowell",0.997000599880024,0.0551889622075585
5,6,"Homogeneous","DunnettT3",0.994801039792042,0.0428914217156569
5,6,"Homogeneous","TamhaneT2",0.992401519696061,0.0340931813637273
5,6,"Homogeneous","Sidak",0.999400119976005,0.0346930613877225
5,6,"Moderate","TukeyHSD",0.999700059988002,0.0629874025194961
5,6,"Moderate","Scheffe",0.997700459908018,0.0319936012797441
5,6,"Moderate","FisherLSD",1,0.0605878824235153
5,6,"Moderate","GamesHowell",0.997100579884023,0.0543891221755649
5,6,"Moderate","DunnettT3",0.993001399720056,0.0427914417116577
5,6,"Moderate","TamhaneT2",0.987802439512098,0.0367926414717057
5,6,"Moderate","Sidak",0.999200159968006,0.0509898020395921
5,6,"High","TukeyHSD",0.999700059988002,0.0715856828634273
5,6,"High","Scheffe",0.998300339932014,0.0376924615076985
5,6,"High","FisherLSD",0.999700059988002,0.0669866026794641
5,6,"High","GamesHowell",0.997400519896021,0.0646870625874825
5,6,"High","DunnettT3",0.992401519696061,0.0518896220755849
5,6,"High","TamhaneT2",0.985202959408118,0.0446910617876425
5,6,"High","Sidak",0.999100179964007,0.0570885822835433
5,8,"Homogeneous","TukeyHSD",1,0.0512897420515897
5,8,"Homogeneous","Scheffe",1,0.0207958408318336
5,8,"Homogeneous","FisherLSD",1,0.0512897420515897
5,8,"Homogeneous","GamesHowell",1,0.0570885822835433
5,8,"Homogeneous","DunnettT3",1,0.0430913817236553
5,8,"Homogeneous","TamhaneT2",1,0.0393921215756849
5,8,"Homogeneous","Sidak",1,0.0404919016196761
5,8,"Moderate","TukeyHSD",1,0.0629874025194961
5,8,"Moderate","Scheffe",0.999900019996001,0.02749450109978
5,8,"Moderate","FisherLSD",1,0.0596880623875225
5,8,"Moderate","GamesHowell",1,0.0555888822235553
5,8,"Moderate","DunnettT3",1,0.0426914617076585
5,8,"Moderate","TamhaneT2",0.999900019996001,0.0377924415116977
5,8,"Moderate","Sidak",1,0.0488902219556089
5,8,"High","TukeyHSD",1,0.0749850029994001
5,8,"High","Scheffe",1,0.0358928214357129
5,8,"High","FisherLSD",1,0.0689862027594481
5,8,"High","GamesHowell",1,0.0578884223155369
5,8,"High","DunnettT3",0.999900019996001,0.0443911217756449
5,8,"High","TamhaneT2",0.999800039992002,0.0399920015996801
5,8,"High","Sidak",1,0.0602879424115177
5,10,"Homogeneous","TukeyHSD",1,0.0501899620075985
5,10,"Homogeneous","Scheffe",1,0.0187962407518496
5,10,"Homogeneous","FisherLSD",1,0.0502899420115977
5,10,"Homogeneous","GamesHowell",1,0.0525894821035793
5,10,"Homogeneous","DunnettT3",1,0.0415916816636673
5,10,"Homogeneous","TamhaneT2",1,0.0387922415516897
5,10,"Homogeneous","Sidak",1,0.0384923015396921
5,10,"Moderate","TukeyHSD",1,0.0615876824635073
5,10,"Moderate","Scheffe",1,0.025994801039792
5,10,"Moderate","FisherLSD",1,0.0549890021995601
5,10,"Moderate","GamesHowell",1,0.0528894221155769
5,10,"Moderate","DunnettT3",1,0.0419916016796641
